"regulation_short_code","gazette_number","pdf_filename","page_count","size_kb","status","extraction_method","extracted_at","notes"
"2483_28","2483/28","2483_28.pdf","4","228","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_29","2483/29","2483_29.pdf","4","327","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_30","2483/30","2483_30.pdf","4","301","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_31","2483/31","2483_31.pdf","5","312","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_32","2483/32","2483_32.pdf","5","313","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_33","2483/33","2483_33.pdf","4","258","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_34","2483/34","2483_34.pdf","5","190","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_35","2483/35","2483_35.pdf","4","258","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_36","2483/36","2483_36.pdf","4","292","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_37","2483/37","2483_37.pdf","5","192","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_38","2483/38","2483_38.pdf","5","189","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_39","2483/39","2483_39.pdf","5","190","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_40","2483/40","2483_40.pdf","5","189","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_41","2483/41","2483_41.pdf","5","193","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_42","2483/42","2483_42.pdf","4","198","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_43","2483/43","2483_43.pdf","4","199","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_44","2483/44","2483_44.pdf","5","199","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_45","2483/45","2483_45.pdf","4","277","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_46","2483/46","2483_46.pdf","4","245","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_47","2483/47","2483_47.pdf","5","337","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_48","2483/48","2483_48.pdf","4","198","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_49","2483/49","2483_49.pdf","5","202","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_50","2483/50","2483_50.pdf","5","337","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_52","2483/52","2483_52.pdf","4","197","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_53","2483/53","2483_53.pdf","5","201","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_54","2483/54","2483_54.pdf","4","237","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_55","2483/55","2483_55.pdf","5","235","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_56","2483/56","2483_56.pdf","5","199","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_57","2483/57","2483_57.pdf","4","199","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_58","2483/58","2483_58.pdf","5","182","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_59","2483/59","2483_59.pdf","5","201","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_60","2483/60","2483_60.pdf","5","242","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_61","2483/61","2483_61.pdf","5","340","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_62","2483/62","2483_62.pdf","4","311","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_63","2483/63","2483_63.pdf","5","191","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_64","2483/64","2483_64.pdf","5","200","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_65","2483/65","2483_65.pdf","4","342","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_66","2483/66","2483_66.pdf","4","344","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_67","2483/67","2483_67.pdf","4","88","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_68","2483/68","2483_68.pdf","4","207","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_69","2483/69","2483_69.pdf","4","178","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_70","2483/70","2483_70.pdf","5","194","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_71","2483/71","2483_71.pdf","4","88","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2483_72","2483/72","2483_72.pdf","5","191","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_73","2483/73","2483_73.pdf","5","190","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_74","2483/74","2483_74.pdf","5","190","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_76","2483/76","2483_76.pdf","4","268","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_77","2483/77","2483_77.pdf","4","320","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_78","2483/78","2483_78.pdf","5","191","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_79","2483/79","2483_79.pdf","5","193","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_80","2483/80","2483_80.pdf","4","183","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_81","2483/81","2483_81.pdf","4","183","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_82","2483/82","2483_82.pdf","4","226","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_83","2483/83","2483_83.pdf","4","291","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2483_84","2483/84","2483_84.pdf","5","239","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2483_85","2483/85","2483_85.pdf","4","195","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2484_01","2484/01","2484_01.pdf","3","227","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_02","2484/02","2484_02.pdf","2","280","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_03","2484/03","2484_03.pdf","7","232","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_04","2484/04","2484_04.pdf","1","203","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_05","2484/05","2484_05.pdf","1","141","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_06","2484/06","2484_06.pdf","2","131","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_07","2484/07","2484_07.pdf","30","928","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_08","2484/08","2484_08.pdf","3","192","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_15","2484/15","2484_15.pdf","5","199","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_20","2484/20","2484_20.pdf","5","660","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_22","2484/22","2484_22.pdf","4","567","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2484_23","2484/23","2484_23.pdf","9","728","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_25","2484/25","2484_25.pdf","2","361","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_28","2484/28","2484_28.pdf","6","236","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_30","2484/30","2484_30.pdf","5","397","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_31","2484/31","2484_31.pdf","8","418","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2484_36","2484/36","2484_36.pdf","2","401","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_41","2484/41","2484_41.pdf","2","186","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2484_49","2484/49","2484_49.pdf","4","233","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2484_50","2484/50","2484_50.pdf","10","581","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_01","2485/01","2485_01.pdf","3","139","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_03","2485/03","2485_03.pdf","8","248","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_13","2485/13","2485_13.pdf","1","162","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_14","2485/14","2485_14.pdf","1","267","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_15","2485/15","2485_15.pdf","2","284","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_16","2485/16","2485_16.pdf","11","450","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_22","2485/22","2485_22.pdf","5","611","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_26","2485/26","2485_26.pdf","2","178","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_29","2485/29","2485_29.pdf","11","448","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_36","2485/36","2485_36.pdf","2","1042","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_38","2485/38","2485_38.pdf","3","836","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_44","2485/44","2485_44.pdf","6","510","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_47","2485/47","2485_47.pdf","6","523","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_48","2485/48","2485_48.pdf","7","204","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_51","2485/51","2485_51.pdf","10","585","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2485_53","2485/53","2485_53.pdf","1","206","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_57","2485/57","2485_57.pdf","2","292","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_58","2485/58","2485_58.pdf","4","699","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2485_60","2485/60","2485_60.pdf","1","214","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_61","2485/61","2485_61.pdf","3","209","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2485_62","2485/62","2485_62.pdf","1","173","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_01","2486/01","2486_01.pdf","3","176","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_02","2486/02","2486_02.pdf","2","247","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_03","2486/03","2486_03.pdf","10","194","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2486_04","2486/04","2486_04.pdf","1","144","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_05","2486/05","2486_05.pdf","12","218","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2486_06","2486/06","2486_06.pdf","8","147","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2486_07","2486/07","2486_07.pdf","4","183","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch10.csv"
"2486_09","2486/09","2486_09.pdf","2","153","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_10","2486/10","2486_10.pdf","2","243","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_12","2486/12","2486_12.pdf","1","212","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_13","2486/13","2486_13.pdf","2","209","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_14","2486/14","2486_14.pdf","1","181","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_15","2486/15","2486_15.pdf","1","223","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_16","2486/16","2486_16.pdf","2","167","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
"2486_17","2486/17","2486_17.pdf","8","715","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch11.csv"
"2486_19","2486/19","2486_19.pdf","1","153","extracted","pdfplumber+claude_classify","2026-05-18T16:15:00Z","Classified in m1_regulations_next50_batch9.csv"
